RI0412RP                              2.00.00.076    CN_RI041                      06/02/20  16:35:06
CDAPI007A                             2.00.00.086    ri0412rp                      06/02/20  16:35:06
UT-TRFRRP                             2.00.00.008    cdapi007                      06/02/20  16:35:06
BTB901ZO                              2.00.00.005    ut-trfrr                      06/02/20  16:35:06
UT-VALIDA-FACELIFT                    3.00.00.001    btb901zo                      06/02/20  16:35:06
UT-TRFRRP                             2.00.00.008    cdapi007                      06/02/20  16:35:06
UT-TRFRRP                             2.00.00.008    ri0412rp                      06/02/20  16:35:06
BTB920AA                              2.00.00.012    ri0412rp                      06/02/20  16:35:06
UT-TRFRRP                             2.00.00.008    ri0412rp                      06/02/20  16:35:07
UT-TRFRRP                             2.00.00.008    ri0412rp                      06/02/20  16:35:07
UT-TRFRRP                             2.00.00.008    ri0412rp                      06/02/20  16:35:07
UT-TRFRRP                             2.00.00.008    ri0412rp                      06/02/20  16:35:07
UT-TRFRRP                             2.00.00.008    ri0412rp                      06/02/20  16:35:07
UT-ACOMP                              2.00.00.004    ri0412rp                      06/02/20  16:35:07
BODI453                               2.00.00.023    ri0412rp                      06/02/20  16:35:07
BTBSECURITY                           3.00.00.001    bodi453                       06/02/20  16:35:07
MEN901ZA                              2.00.00.009    btbsecur                      06/02/20  16:35:07
BTB918ZB                              2.00.00.002    bodi453                       06/02/20  16:35:07
UT-XMLPRS                             3.00.00.001    bodi453                       06/02/20  16:35:07
BODI453A                              2.00.00.019    ri0412rp                      06/02/20  16:35:09
BTB918ZB                              2.00.00.002    bodi453a                      06/02/20  16:35:09
api_controle_cta_ctbl                     prgint/utb/utb743za.py    1.00.00.009    06/02/20  16:35:09
UT-ACOMP                              2.00.00.004    ri0412rp                      06/02/20  16:35:09
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:11
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:11
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:11
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:11
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:11
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:11
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:11
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:11
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:11
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:11
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:11
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:11
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:11
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:11
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:11
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:11
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:11
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:11
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:11
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:11
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:11
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:11
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:11
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:11
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:12
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:12
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:12
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:12
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:12
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:12
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:12
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:12
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:12
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:12
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:12
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:12
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:12
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:12
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:12
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:12
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:12
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:12
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:12
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:12
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:12
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:12
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:12
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:12
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:12
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:12
RI9999                                2.00.00.000    ri0412rp                      06/02/20  16:35:12
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:12
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:12
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:12
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:12
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:12
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:12
UT-ACOMP                              2.00.00.004    ri0412rp                      06/02/20  16:35:13
UT-ACOMP                              2.00.00.004    ri0412rp                      06/02/20  16:35:13
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:13
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:13
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:13
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  16:35:14
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  16:35:14
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  16:35:14
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  16:35:14
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  16:35:14
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  16:35:14
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  16:35:14
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  16:35:14
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:14
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  16:35:15
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  16:35:15
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  16:35:15
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  16:35:15
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  16:35:15
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  16:35:15
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  16:35:15
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  16:35:15
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  16:35:15
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:15
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:16
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:16
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  16:35:16
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:16
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:16
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:16
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:16
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  16:35:16
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:16
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:16
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:16
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:16
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  16:35:16
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:16
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:16
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:16
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:16
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  16:35:16
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:16
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:16
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:16
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:16
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  16:35:16
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:16
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:16
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:16
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:16
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  16:35:16
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:16
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:16
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:16
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:16
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  16:35:16
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:17
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:17
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:17
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:17
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  16:35:17
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:17
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:17
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:17
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:17
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  16:35:17
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:17
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:17
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:17
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:17
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  16:35:17
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:17
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:17
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:17
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:17
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  16:35:17
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:17
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  16:35:17
