RI0412RP                              2.00.00.076    CN_RI041                      06/02/20  17:03:21
CDAPI007A                             2.00.00.086    ri0412rp                      06/02/20  17:03:21
UT-TRFRRP                             2.00.00.008    cdapi007                      06/02/20  17:03:21
BTB901ZO                              2.00.00.005    ut-trfrr                      06/02/20  17:03:21
UT-VALIDA-FACELIFT                    3.00.00.001    btb901zo                      06/02/20  17:03:21
UT-TRFRRP                             2.00.00.008    cdapi007                      06/02/20  17:03:21
UT-TRFRRP                             2.00.00.008    ri0412rp                      06/02/20  17:03:21
BTB920AA                              2.00.00.012    ri0412rp                      06/02/20  17:03:21
UT-TRFRRP                             2.00.00.008    ri0412rp                      06/02/20  17:03:22
UT-TRFRRP                             2.00.00.008    ri0412rp                      06/02/20  17:03:22
UT-TRFRRP                             2.00.00.008    ri0412rp                      06/02/20  17:03:22
UT-TRFRRP                             2.00.00.008    ri0412rp                      06/02/20  17:03:22
UT-TRFRRP                             2.00.00.008    ri0412rp                      06/02/20  17:03:22
UT-ACOMP                              2.00.00.004    ri0412rp                      06/02/20  17:03:22
BODI453                               2.00.00.023    ri0412rp                      06/02/20  17:03:22
BTBSECURITY                           3.00.00.001    bodi453                       06/02/20  17:03:22
MEN901ZA                              2.00.00.009    btbsecur                      06/02/20  17:03:22
BTB918ZB                              2.00.00.002    bodi453                       06/02/20  17:03:22
UT-XMLPRS                             3.00.00.001    bodi453                       06/02/20  17:03:22
BODI453A                              2.00.00.019    ri0412rp                      06/02/20  17:03:25
BTB918ZB                              2.00.00.002    bodi453a                      06/02/20  17:03:25
api_controle_cta_ctbl                     prgint/utb/utb743za.py    1.00.00.009    06/02/20  17:03:25
UT-ACOMP                              2.00.00.004    ri0412rp                      06/02/20  17:03:25
UT-ACOMP                              2.00.00.004    ri0412rp                      06/02/20  17:03:28
UT-ACOMP                              2.00.00.004    ri0412rp                      06/02/20  17:03:28
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:28
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:28
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:28
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:28
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  17:03:28
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:28
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:28
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:28
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:28
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  17:03:29
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:29
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:29
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:29
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:29
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  17:03:29
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:29
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:29
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:29
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:29
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  17:03:29
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:29
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:29
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:29
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:29
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  17:03:29
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:29
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:29
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:29
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:29
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  17:03:29
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:29
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:29
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:29
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:29
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  17:03:29
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:29
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:29
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:29
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:29
TWDI148                               2.00.00.001    ri0412rp                      06/02/20  17:03:29
     PonRI0412RP.809. Fim do bloco do rateio                                                                
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:29
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:29
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:30
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:30
TCDI148                               2.00.00.001    ri0412rp                      06/02/20  17:03:30
TCDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:30
TWDI473                               2.00.00.000    ri0412rp                      06/02/20  17:03:30
