|T001|1||||
|T002|2|CONTABILISTA NEW||124528|01905585000232|89200000||RUA 1|2|||BAIRRO|47|21210000|47|21210000||SC|09102|900|
|T003|1438010070113|SASAZAKI INDUSTRIA E COMERCIO LTDA ACAO.|01058|52045697000110||438010070113|29005|||AV EUGENIO CONEGLIAN|10604|||DISTR INDUSTRIAL|SP|17512900|14|34029922|14|34029933||19900727|2||
|T003|14|TESTE ESTRANGEIRO|02496||||99999|||RUA ATICA, BROOKFIELD, 02496|49|||BROOKLIN|EX|04634040|11|50313050|11|50332010|NICOM.COM@TERRA.COM.BR|20110722|2||
|T003|18|MANUELA DOS SANTOS|01058||86308459966||09102|||RUA DAS ACACIAS|34|||FLORESTA|SC|89212461|047|345855|||MANU@GMAIL.COM|20110811|1||
|T003|13|TREZA SA|01058|61101895000498||438.017.330.116|29005|||RUA XV DE NOVEMBRO|16941000|||CENTRO|SP|17500050||34330944||||20110713|2|1|
|T003|51917|CELI CHIEMI SASAZAKI|01058||01114183806||29005|||AV RIO BRANCO|249|||SB|SP|17500090||34331272||||19920127|1||
|T003|76897|ESTEVAN LEMES LEITE SOARES DE SOUZA - ME|01058|08691997000185||548.072.957.110|40002|||RUA A|142|||DISTRITO INDUSTRIAL|SP|17580000|14|91162032|||GCS@LIFE.COM.BR|20080521|2||
|T003|76267|GRAFICA CENTRAL DE GARCA LTDA. - ME|01058|69328896000139||315.020.200.116|16705|||RUA HEITOR PENTEADO|817|||REBELO|SP|17400000|14|34061895|14|34061895|CONTATOGC@YAHOO.COM.BR|20070403|2||
|T003|87020|SASAZAKI PARTICIP ,EMPREEND E COM SA|01058|53113791000637|||29005|||AV BRASIL|232|||SB|SP|17500000||||||19900727|2||
|T003|71092|METALURGICA NICOLA DE MARILIA LTDA|01058|64878937000147||438.080.840.114|29005|||RUA MARCOS BORTION|945|||JD STA ANTONIETA|SP|17512330||34255505||34255505|OVIDIO@METALURGICANICOLA.COM.BR|19910119|2||
|T003|78683|GABRIEL ABDUL MASSIH NETO ME|01058|04163173000181||438.194.482.119|29005|||RUA DOS TUCUNARES|500|||JARDIM MARAJA|SP|17507280||34545792||||20110429|2||
|T003|78717201005772119|EUGENIO BRAZ ARROTEIA E CIA LTDA|01058|49858806000104||201005772119|05203|||AV 15 DE NOVEMBRO|340|||CENTRO|SP|17250000|14|36621483||||20110503|2||
|T003|73981|GARMAX - SERRALH INDL LTDA-ME|01058|69177426000111||315.020.097.111|16705|||RUA CARLOS FERRARI|3245|||INDUSTRIAL|SP|17400000|14|34063044||||20000619|2||
|T003|78657|RODOSNACK SEM LIMITES LANCH. REST LTDA|01058|09535195000149||209.410.286.111|06003|||RODOVIA MARECHAL RONDON|SN|KM 342 ||VILA CARDIA|SP|17030005||||||20110330|2||
|T003|76166|IRAMILDO PEREIRA RESENDE E CIA LTDA.|01058|04683269000170||5101440780069|51008|||ROD BR 459|KM 11|40||CENTRO|MG|37508000|35|36441240||||20070130|2||
|T003|78716438064524114|REDE LK DE POSTOS LTDA|01058|01820806000512||438064524114|29005|||AV ANTONIETA ALTENFELDER|2235|||JD SANTA ANTONIETA|SP|17512130||34252960||||20110503|2||
|T003|70912|AUTO POSTO REPUBLICA BOM JESUS LTDA.|01058|60175544000116||438.074.618.117|29005|||AV REPUBLICA|4767|||PALMITAL|SP|17511000||34253375||||19900727|2||
|T003|77785|TRANSPORTADORA SCUBIDU LTDA ME|01058|06331583000110||428.071.769.118|28007|||RUA JOAO PAVANELLO|211|||JD BOCAYUVA|SP|17290000||||||20100302|2||
|T003|77172|SERVNEWS ROBOTICA E AUTOMACAO LTDA.|01058|02973703000202||117.127.808.113|50308|||RUA OSAKA|655|||JARDIM JAPAO|SP|02124040|11|29814584||||20110502|2||
|T003|78685|CONTRATOS EPI S LTDA-ME|01058|11098127000101||10.453.366-8|04508|||AVE ELIAS BUFAICAL,|SN|- QD 08 LT 13 ||JARDIM BELVEDERE|GO|75690000|34|32103706|34|32103706||20110407|2||
|T003|78512|ANTONIO CARLOS DE OLIVEIRA PLASTICOS ME|01058|07343859000142||209.392.223.116|06003|||RUA JORGE PIMENTEL|4-47|||VILA ENGLER|SP|17047010|14|32042600|||COMERCIAL@IMAGEMPLASTICOS.COM.BR|20110215|2||
|T003|74792|V. C. M. THEODORO - ME|01058|05244792000163||377.059.990.113|22901|||RUA FRANCISCO ARTIOLI|220|||JD MARIA ROSARIA                        |SP|17230000|14|36644332|||TEKNOLUVAS@UOL.COM.BR|20030403|2||
|T003|75800|SCHLEGEL AM.SUL VED. CONSTR. CIVIL LTDA.|01058|07295484000192||117.038.823.110|50308|||RUA AFONSO VERGUEIRO|1062|||VILA MARIA|SP|02116001|||11|26310602|VEDAWAY.SCHLEGEL@GMAIL.COM|20060724|2||
|T003|78013|A. ANGELONI E CIA. LTDA|01058|83646984007031||255251696|13500|||ROD BR 101|KM 156,3|||ALTO PEREQUE|SC|88210000||||||20100727|2||
|T003|78334|MF FERRAGENS  LTDA|01058|11284925000128||148.868.474.116|50308|||R BALTAZAR DE MORAES|95|||VILA NIVI|SP|02255010|11|46482710|11|46482466||20110415|2||
