|0000|013|0|01052011|31052011|ESTABELECIMENTO TOTVS - N ALTERAR CONTAS|53113791001790||SC|255721161|4209102|85369||A|0|
|0001|0|
|0005|ESTABELECIMENTO TOTVS - N ALTERAR CONTAS|89218900|AV SANTOS DUMONT|831100||SANTO ANTONIO|4340229922|||
|0015|CE|062729608|
|0015|MG|0014673520009|
|0015|MS|282906380|
|0015|MT|134006453|
|0015|RJ|92012050|
|0015|RS|0963385577|
|0015|SC|256179301|
|0015|SP|438010070113|
|0100|CONTABILISTA NEW|79195806920|SC125|01905585000232|89200000|SANTOS DUMONT|831|FUNDOS|SANTO ANTONIO|4721210000|4721210000|CONTADOR2@TOTVS.COM.BR|4209102|
|0150|10142|TOSHIHIKO TOMA ARACATUBA ME|1058|00158035000153||177109188110|3502804||RUA JOAO ARRUDA BRASIL|1637||S JOAQUIM|
|0150|10170|CASA JACOME LTDA|1058|42987990000143||1008255250082|3110004||RUA CADETE DE MELO|65||PEDRA BRANCA|
|0150|10172|HELBY ALVAREZ MUZZY|1058|20905147000138||4474371230042|3144706||AV KENNEDY|370||CENTENARIO|
|0150|10193|CLAUDIO JOSE BONGIOVANI|1058|67815381000138||224052484112|3507506||RUA TEN JOAO FRANCISCO|200||V LAVRADOR|
|0150|10204|SERRARIA AGOSTINI LTDA|1058|18556357000116||6251651190046|3162500||RUA GAL ARISTIDES PRADO|121||MATOZINHOS|
|0150|10259|CAETANO DE TATUI MATS CONSTR LTDA|1058|00173353000193||687051790111|3554003||TRAV ROMEU PICCHI|532|540|CENTRO|
|0150|10302|PACELLI E MARCON LTDA - ME|1058|65799868000149||668020759113|3552106||RUA CAP JOAQUIM SOUZA PINTO|27||CENRO|
|0150|107|ARTONI COM MATS CONSTR LTDA|1058|50408038000257||391016361111|3524303||AV PINTOS|1256||SOROCABANO|
|0150|10762|YATA MATS CONSTR LTDA|1058|71830509000100||748011931114|3519071||AV 06|1400||J AMANDA|
|0150|10773|IRMAOS FEDICHINA E CIA LTDA|1058|73112278000124||396002378114|3524808||R 24|1044||CENTRO|
|0150|10910|IMPER TEC ENG E MATS LTDA|1058|41689514000183||5250919900081|3152501||RUA BOM JESUS|635||CENTRO|
|0150|11154|MENDONCA E TIBURCIO LTDA|1058|73202921000100||5340327227|4106407||AV GETULIO VARGAS|51||CENTRO SEDE|
|0150|11171|AMILTON BRIZOLARI CONSTR - EPP|1058|71628945000109||166009220110|3501707||RUA GENTIL PRUDENTE CORREA|630||JD PLANALTO|
|0150|112|H W S MATS CONSTR LTDA|1058|25927849000136||3786377110072|3137809||BR 460|2011||JARDIM DO LAGO|
|0150|11289|SOARES MELLO E CIA LTDA|1058|75378273000173||8250064439|4105607||RUA MARIO RIBEIRO BORGES|2856||CENTRO|
|0150|1130|M M C MORVILLO MATS CONSTR LTDA|1058|60398484000109||181086490110|3503208||RUA ITALIA|2187||CENTRO|
|0150|11450|CONSTRU-SOL MATS CONSTR LTDA|1058|58845439000103||451018416110|3530300||AV MODESTO JOSE MOREIRA JR|2751||PORTAL|
|0150|11482|ABA MATS CONSTR LTDA|1058|01297703000196||3829746470083|3138203||AV JUSCELINO KUBITSCHECK|673||CENTRO|
|0150|11495|COM MADS NALESSIO LTDA|1058|53008751000544||535182545112|3538709||RUA PASCHOAL DABRONZO|236||ALGODOAL|
|0150|11516|NEWTON ALVES PEDROSA|1058|18210369000356||0621390090263|3106200||RUA ACACIO COSTA JUNIOR|300||VILA CLORIS|
|0150|11526|TIAGO CAETANO - ME|1058|01341328000134||165145078114|3501608||RUA PE ANTONIO VIEIRA|151||VL AMORIM|
|0150|11582|LUIS MARCOS MINGUTA - ME|1058|00522625000113||5969239780017|3159605||RUA ELPIDIO COSTA|160|A|MARISTELA|
|0150|11622|CASA SOL MAX MATS CONSTR LTDA|1058|01250532000140||209219309112|3506003||AL CONEGO ANIBAL DIFRANCIA|13-92||ALTO SUMARE|
|0150|11751|SUPERMAC LTDA|1058|01617025000100||4713285800069|3133808||AV MANOEL DA CUSTODIA|1789||VILA NAZARE|
|0150|11769|SANTOS E BASAGLIA LTDA|1058|80549066000174||8250095822|4105607||AV COM GENTIL GERALDI|3030||CENTRO|
|0150|11868|FABIO ANTONIO LIMA - ME|1058|01158556000173||371080418119|3522307||AV 05 DE NOVEMBRO|173||VL RIO BRANCO|
